Regiune,Shannon,Simpson
Bucuresti-Ilfov,0.18564657558036723,0.061112402848260805
Centru,0.8262953098216655,0.4918667156410481
Nord-Est,0.1475284567367498,0.04943677022802018
Nord-Vest,0.7743048499908298,0.4021799653775955
Sud,0.18909503118830776,0.08235834440569989
Sud-Est,0.29954199669031817,0.10940041001074985
Sud-Vest,0.16045172386461146,0.06633642637648107
Vest,0.5601131404551142,0.2169266955254875
